2021-07-04 00:07:10 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 00:07:898 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 00:07:742 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 00:07:913 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 00:07:160 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 00:07:356 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 00:07:984 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (4efbb802d7e2a9a805bf206941267c89)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-04 00:07:206 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (4efbb802d7e2a9a805bf206941267c89)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-04 00:07:999 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (4efbb802d7e2a9a805bf206941267c89)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-04 20:07:379 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 20:07:834 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (d356c602d402a303f350fdd1aefb16eb)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-04 20:07:206 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (d356c602d402a303f350fdd1aefb16eb)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-04 20:07:933 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (d356c602d402a303f350fdd1aefb16eb)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-04 20:07:64 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (d356c602d402a303f350fdd1aefb16eb)] -> xpath: //select[@id='makes']]
2021-07-04 20:07:482 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (d356c602d402a303f350fdd1aefb16eb)] -> xpath: //select[@id='models']]
2021-07-04 20:07:33 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (d356c602d402a303f350fdd1aefb16eb)] -> xpath: //select[@id='locations']]
2021-07-04 20:07:107 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 20:07:586 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (940f1702928bb0d36e9412f344f9d444)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-04 20:07:441 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (940f1702928bb0d36e9412f344f9d444)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-04 20:07:821 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (940f1702928bb0d36e9412f344f9d444)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-04 20:07:904 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (940f1702928bb0d36e9412f344f9d444)] -> xpath: //select[@id='makes']]
2021-07-04 20:07:345 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (940f1702928bb0d36e9412f344f9d444)] -> xpath: //select[@id='models']]
2021-07-04 20:07:485 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 20:07:212 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (fe92ffddd697a1e4db713603616a8730)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-04 20:07:33 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (fe92ffddd697a1e4db713603616a8730)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-04 20:07:422 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (fe92ffddd697a1e4db713603616a8730)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-04 20:07:505 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (fe92ffddd697a1e4db713603616a8730)] -> xpath: //select[@id='makes']]
2021-07-04 20:07:833 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (fe92ffddd697a1e4db713603616a8730)] -> xpath: //select[@id='models']]
2021-07-04 20:07:250 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (fe92ffddd697a1e4db713603616a8730)] -> xpath: //select[@id='locations']]
2021-07-04 20:07:429 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 20:07:806 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (364b6353bed68edc77c9ff7dfaba9927)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-04 20:07:575 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (364b6353bed68edc77c9ff7dfaba9927)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-04 20:07:702 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (364b6353bed68edc77c9ff7dfaba9927)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-04 20:07:784 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (364b6353bed68edc77c9ff7dfaba9927)] -> xpath: //select[@id='makes']]
2021-07-04 20:07:108 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (364b6353bed68edc77c9ff7dfaba9927)] -> xpath: //select[@id='models']]
2021-07-04 20:07:733 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (364b6353bed68edc77c9ff7dfaba9927)] -> xpath: //select[@id='locations']]
2021-07-04 20:07:896 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 20:07:228 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (a06b233817fb0835578dfab35b43edb2)] -> xpath: //a[contains( text() , 'buy + sell')]]
